NETTBUTIKK,SENDER TIL SVALBARD,SENDER IKKE TIL SVALBARD,TREKKER MOMS DIREKTE,MÅ HA RD 0032B SKJEMA,TREKKER IKKE MOMS,KOMMENTAR
Milrab.no,,X,,,,"Må sende epost etter å ha mottat varen, de tilbakebetaler til konto (ikke til kredittkort). ""For øyeblikket sender vi ikke til Svalbard, men vi håper å ha dette på plass i løpet av 2025.""
Milrab kundeservice 16.02.26: Sender ikke lenger til Svalbard etter å ha fått nye eiere."
Moonlight.no,X,,X,,X,
multitrend.no,X,,,,X,
mye-moro.no,X,,,,X,
mytrendyphone.no,X,,,,X,
Nespresso.com,X,,X,,,"Opprett bruker og ta kontakt med kundeservice, da legger de inn at bruker ikke skal betale moms"
Netflix,X,,,,X,
Nettdyret.no ,X,,X,,,Må ta kontakt ved bestilling i nettbutikk 
next.com,X,,,,X,
norli.no,X,,,,,
Nostebarn.no,X,,X,,,
www.nytelse.no,X,,X,,,
OM systems,X,,,,X,
Oslo Sportslager,X,,X,,,"MVA trekkes vekk i etterkant av bestillingen, det står at de tar betalt for frakt men erfaringsmessig stemmer det ikke."
outnorth.no,,X,,,X,ifølge nettsiden Mai 2025
Panduro.no,,X,,,,"Har sluttet å sende til Svalbard, per 01.10.2024"
petterpia.no,X,,X,,,
Platou Sport,X,,X,,,
polarnopyret.no,X,,,,,
princessbutikken.no,X,,X,,,"Send en e-post etter å ha mottatt varene. Trekkes ikke direkte, men de svarer raskt på mail og trekker fører tilbake i ettertid."
Proshop.no,X,,X,,,"Post Nord. DO NOT BUY FROM THEM (Brukt 2 ganger i 2024, 900kr i frakt men kommer på litt over en uke)"
qwertee.com,X,,,,,"Refunderer mva, må sende mail som svar på ordrebekreftelsen med krav om refusjon."
rasmusdesign.no,,,,,,
reima.com/no,X,,X,,,Må ta kontakt før bestilling og ikke i nettbutikken
sandnesgarn.no,X,,,,,Må ta kontakt før bestilling og ikke i nettbutikken
scandinavianphoto.no,X,,X,,,Bestilling må sendes på e-post
selskapsshop.no,X,,,X - Skjema fungerer kun på reisegods som tas med til Svalbard i bagasjen,,
sinful.no,X,,,X - Skjema fungerer kun på reisegods som tas med til Svalbard i bagasjen,,
skatepro,X,,X,,,Må ta kontakt før bestilling og ikke i nettbutikken
Skeidar Tromsø,X,,,,X,Må ta kontakt før bestilling og ikke i nettbutikken
skindhuset.dk,X,,,,,Må ta kontakt før bestilling og ikke i nettbutikken
Skittfiske.no,X,,X,,,Må ta kontakt før bestilling for å få konto uten moms
Skittjakt.no,X,,,,,
somsenteret.no,X,,,,X,Må ta kontakt før bestilling og ikke i nettbutikken
sostrenegrene.no,X,,,,X,
sparkjop.no,X,,X,,,Må ta kontakt før bestilling og ikke i nettbutikken
sport-conrad.com,X,,X,,,
sportmann.no,X,,X,,,Må ta kontakt før bestilling og ikke i nettbutikken
stofflykke.no,X,,X,,,
sweetprotection.com/no-no/outlet/,X,,,,X,
Temu (app),X,,,,X,
thights.no,,X,X,,,Har sluttet å sende til Svalbard per 24.10.23
thomannmusic.no,X,,,,,
Thorshovsport.no,X,,,X - Skjema fungerer kun på reisegods som tas med til Svalbard i bagasjen,,Send ordrenummeret og kontonummeret til kundeservice.fotball@torshovsport.no for å få hjelp til dette
tilbords.no,X,,X,,,"Trekker moms, men kun beløp over 1200 etter mva fratrekk"
tromsoskiogsykkel.no,X,,X,,,
https://troll-hundefor.no/,X,,X,,,Trekker mva ved betaling 
Twistshake.com,X,,,X - Skjema fungerer kun på reisegods som tas med til Svalbard i bagasjen,,Må ta kontakt før bestilling og ikke i nettbutikken
uniggardin.no,X,,,,,
vakrevene.no,X,,X,,,
Verktøy.no ,X,,X,,,Må ta kontakt før bestilling og ikke i nettbutikken
vintagegitar.no,X,,X,,,"Send en e-post etter mottatt ordrebekreftelse, butikken sender med skjema"
vita.no,,X,X,,,"Send en e-post etter mottatt ordrebekreftelse, butikken sender med skjema. Legger du inn handel på Klarna og sender mail trekker de fra direkte i Klarna. Oppdatert jan26: sender ikke lenger til Svalbard"
vikingfootwear.com,X,,,,,Send e-post etter at varene er mottatt.
vpg.no,X,,X,,,
wearefit.no,X,,X,,,
West System.no,X,,X,,,
zara.com,X,,,,X,Opplyser at de kun trekker mva på varer kjøpt fysisk i butikk...
Zooplus.no,X,,X,,,Send e-post til service@zooplus.no så refunderer de MVA samme dag.
